======================================================================
  FILMN9 — DCF 밸류에이션용 애널리스트 리포트 다운로드 체크리스트
  전체 634개  (코어 443 / 확장 191)
  사용법: PDF 받으면 [ ] -> [O] 로 표시
======================================================================

■ 코어 (시총 5천억+) — 443개  ★최우선
----------------------------------------------------------------------
[ ] 149. DN오토모티브  (007340)  | KOSPI | 시총 26,125억
[ ] 150. GS건설  (006360)  | KOSPI | 시총 26,102억
[ ] 151. 우리기술  (032820)  | KOSDAQ | 시총 26,101억
[ ] 152. 에스원  (012750)  | KOSPI | 시총 25,991억
[ ] 153. 에스피지  (058610)  | KOSDAQ | 시총 25,859억
[ ] 154. 현대위아  (011210)  | KOSPI | 시총 24,748억
[ ] 155. 달바글로벌  (483650)  | KOSPI | 시총 24,564억
[ ] 156. 동서  (026960)  | KOSPI | 시총 24,476억
[ ] 157. HD현대마린엔진  (071970)  | KOSPI | 시총 24,118억
[ ] 158. 대한조선  (439260)  | KOSPI | 시총 24,072억
[ ] 159. RFHIC  (218410)  | KOSDAQ | 시총 23,925억
[ ] 160. 대주전자재료  (078600)  | KOSDAQ | 시총 23,849억
[ ] 161. 비츠로셀  (082920)  | KOSDAQ | 시총 23,849억
[ ] 162. 이마트  (139480)  | KOSPI | 시총 23,760억
[ ] 163. 실리콘투  (257720)  | KOSDAQ | 시총 23,706억
[ ] 164. 성호전자  (043260)  | KOSDAQ | 시총 23,688억
[ ] 165. 현대백화점  (069960)  | KOSPI | 시총 23,678억
[ ] 166. 고영  (098460)  | KOSDAQ | 시총 23,549억
[ ] 167. 농심  (004370)  | KOSPI | 시총 23,418억
[ ] 168. 테스  (095610)  | KOSDAQ | 시총 23,058억
[ ] 169. 한전KPS  (051600)  | KOSPI | 시총 22,950억
[ ] 170. SK네트웍스  (001740)  | KOSPI | 시총 22,627억
[ ] 171. 비에이치아이  (083650)  | KOSDAQ | 시총 22,558억
[ ] 172. 풍산  (103140)  | KOSPI | 시총 22,475억
[ ] 173. 에임드바이오  (0009K0)  | KOSDAQ | 시총 22,247억
[ ] 174. 티에스이  (131290)  | KOSDAQ | 시총 22,112억
[ ] 175. SK가스  (018670)  | KOSPI | 시총 21,940억
[ ] 176. 호텔신라  (008770)  | KOSPI | 시총 21,626억
[ ] 177. 코오롱인더  (120110)  | KOSPI | 시총 21,501억
[ ] 178. BGF리테일  (282330)  | KOSPI | 시총 21,467억
[ ] 179. GS리테일  (007070)  | KOSPI | 시총 21,362억
[ ] 180. 제일기획  (030000)  | KOSPI | 시총 21,237억
[ ] 181. 셀트리온제약  (068760)  | KOSDAQ | 시총 21,180억
[ ] 182. JYP Ent.  (035900)  | KOSDAQ GLOBAL | 시총 20,502억
[ ] 183. 엘앤씨바이오  (290650)  | KOSDAQ | 시총 20,443억
[ ] 184. 한국콜마  (161890)  | KOSPI | 시총 20,182억
[ ] 185. 씨에스윈드  (112610)  | KOSPI | 시총 20,031억
[ ] 186. 메지온  (140410)  | KOSDAQ | 시총 19,907억
[ ] 187. 스피어  (347700)  | KOSDAQ | 시총 19,792억
[ ] 188. 코스맥스  (192820)  | KOSPI | 시총 19,714억
[ ] 189. 네이처셀  (007390)  | KOSDAQ | 시총 19,588억
[ ] 190. HD현대에너지솔루션  (322000)  | KOSPI | 시총 19,578억
[ ] 191. CJ대한통운  (000120)  | KOSPI | 시총 19,505억
[ ] 192. 파크시스템스  (140860)  | KOSDAQ GLOBAL | 시총 19,292억
[ ] 193. HJ중공업  (097230)  | KOSPI | 시총 18,556억
[ ] 194. 테크윙  (089030)  | KOSDAQ | 시총 18,471억
[ ] 195. 에스엠  (041510)  | KOSDAQ GLOBAL | 시총 18,247억
[ ] 196. 기가비스  (420770)  | KOSDAQ | 시총 17,924억
[ ] 197. 알지노믹스  (476830)  | KOSDAQ | 시총 17,571억
[ ] 198. 태성  (323280)  | KOSDAQ | 시총 17,498억
[ ] 199. 코스모신소재  (005070)  | KOSPI | 시총 17,338억
[ ] 200. LS마린솔루션  (060370)  | KOSDAQ | 시총 17,134억
[ ] 201. 다우기술  (023590)  | KOSPI | 시총 17,120억
[ ] 202. 시프트업  (462870)  | KOSPI | 시총 16,716억
[ ] 203. NHN  (181710)  | KOSPI | 시총 16,671억
[ ] 204. 한국카본  (017960)  | KOSPI | 시총 16,666억
[ ] 205. 녹십자  (006280)  | KOSPI | 시총 16,525억
[ ] 206. LX인터내셔널  (001120)  | KOSPI | 시총 16,260억
[ ] 207. STX엔진  (077970)  | KOSPI | 시총 16,220억
[ ] 208. 삼현  (437730)  | KOSDAQ | 시총 16,203억
[ ] 209. 오스코텍  (039200)  | KOSDAQ | 시총 16,088억
[ ] 210. 씨젠  (096530)  | KOSDAQ | 시총 15,877억
[ ] 211. SK아이이테크놀로지  (361610)  | KOSPI | 시총 15,793억
[ ] 212. 효성티앤씨  (298020)  | KOSPI | 시총 15,731억
[ ] 213. 에스에이엠티  (031330)  | KOSDAQ | 시총 15,649억
[ ] 214. 큐리옥스바이오시스템즈  (445680)  | KOSDAQ | 시총 15,552억
[ ] 215. 삼화콘덴서  (001820)  | KOSPI | 시총 15,499억
[ ] 216. 롯데관광개발  (032350)  | KOSPI | 시총 15,204억
[ ] 217. 해성디에스  (195870)  | KOSPI | 시총 15,147억
[ ] 218. 대웅제약  (069620)  | KOSPI | 시총 15,132억
[ ] 219. 아시아나항공  (020560)  | KOSPI | 시총 15,099억
[ ] 220. 에이프릴바이오  (397030)  | KOSDAQ | 시총 14,938억
